season,id,name,short_name,description,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,start_date,end_date,venue_id,venue_name,home_captain,away_captain,pom,points,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,highlights,home_key_batsman,home_key_bowler,home_playx1,away_playx1,away_key_batsman,away_key_bowler,match_days,umpire1,umpire2,tv_umpire,referee,reserve_umpire
2022,1298169,Bangladesh v India,BAN v INDIA,"35th Match, Group 2 (N), ICC Men's T20 World Cup at Adelaide, Nov 2 2022",BAN,INDIA,Bangladesh,BOWL FIRST,184/6,145/6,145/6,184/6,INDIA,India won by 5 runs (D/L),2022-11-02T08:00Z,2022-11-03T23:59Z,56293,Adelaide Oval,Shakib Al Hasan,Rohit Sharma,Virat Kohli,"India 2, Bangladesh 0",False,16,145,6,20,20,184,6,24,India survive Litton Das scare in wet Adelaide. Opener's run-out for 60 turns rain-hit game as India win thriller to go to the top of Group 2,"Litton Das,Nurul Hasan","Hasan Mahmud,Shakib Al Hasan","Najmul Hossain Shanto (UKN),Litton Das (UKN),Shakib Al Hasan (AR),Afif Hossain (AR),Yasir Ali (UKN),Nurul Hasan (WK),Mosaddek Hossain (UKN),Taskin Ahmed (BL),Hasan Mahmud (BL),Shoriful Islam (BL),Mustafizur Rahman (BL)","KL Rahul (UKN),Rohit Sharma (UKN),Virat Kohli (UKN),Suryakumar Yadav (UKN),Hardik Pandya (AR),Dinesh Karthik (WK),Axar Patel (AR),Ravichandran Ashwin (AR),Bhuvneshwar Kumar (BL),Mohammed Shami (BL),Arshdeep Singh (BL)","Virat Kohli,KL Rahul","Hardik Pandya,Arshdeep Singh",2 November 2022 - night match (20-over match),Chris Brown,Marais Erasmus,Richard Illingworth,David Boon,Adrian Holdstock
2022,1298168,Netherlands v Zimbabwe,NED v ZIM,"34th Match, Group 2, ICC Men's T20 World Cup at Adelaide, Nov 2 2022",NED,ZIM,Zimbabwe,BAT FIRST,117,120/5,120/5,117,NED,Netherlands won by 5 wkts (12b rem),2022-11-02T04:00Z,2022-11-03T23:59Z,56293,Adelaide Oval,Scott Edwards,Craig Ervine,Max O'Dowd,"Netherlands 2, Zimbabwe 0",False,18,120,5,16,19.2,117,10,11,"Netherlands seamers, O'Dowd all but knock Zimbabwe out. Despite a 24-ball 40 from Sikandar Raza, Zimbabwe were bowled out for 117 and Netherlands aced the chase in 18 overs","Max O'Dowd,Tom Cooper","Paul van Meekeren,Bas de Leede","Stephan Myburgh (UKN),Max O'Dowd (UKN),Tom Cooper (UKN),Colin Ackermann (AR),Bas de Leede (AR),Scott Edwards (WK),Roelof van der Merwe (AR),Logan van Beek (BL),Fred Klaassen (BL),Paul van Meekeren (BL),Brandon Glover (BL)","Wessly Madhevere (AR),Craig Ervine (UKN),Regis Chakabva (WK),Sean Williams (UKN),Sikandar Raza (AR),Milton Shumba (UKN),Ryan Burl (UKN),Luke Jongwe (BL),Richard Ngarava (BL),Tendai Chatara (BL),Blessing Muzarabani (BL)","Sikandar Raza,Sean Williams","Richard Ngarava,Blessing Muzarabani",2 November 2022 (20-over match),Adrian Holdstock,Richard Illingworth,Chris Brown,David Boon,Marais Erasmus
2022,1298167,England v New Zealand,ENG v NZ,"33rd Match, Group 1 (N), ICC Men's T20 World Cup at Brisbane, Nov 1 2022",ENG,NZ,England,BAT FIRST,179/6,159/6,179/6,159/6,ENG,England won by 20 runs,2022-11-01T08:00Z,2022-11-02T23:59Z,56336,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Jos Buttler,Kane Williamson,Jos Buttler,"England 2, New Zealand 0",False,20,179,6,21,20,159,6,13,"Jos Buttler, Sam Curran fire as England ignite World Cup campaign. New Zealand suffer first defeat despite belligerent Glenn Phillips half-century","Jos Buttler,Alex Hales","Sam Curran,Chris Woakes","Jos Buttler (WK),Alex Hales (UKN),Moeen Ali (AR),Liam Livingstone (AR),Harry Brook (UKN),Ben Stokes (AR),Sam Curran (AR),Dawid Malan (UKN),Chris Woakes (AR),Mark Wood (BL),Adil Rashid (BL)","Finn Allen (UKN),Devon Conway (WK),Kane Williamson (UKN),Glenn Phillips (UKN),James Neesham (AR),Daryl Mitchell (AR),Mitchell Santner (AR),Ish Sodhi (BL),Tim Southee (BL),Lockie Ferguson (BL),Trent Boult (BL)","Glenn Phillips,Kane Williamson","Lockie Ferguson,Ish Sodhi",1 November 2022 - night match (20-over match),Nitin Menon,Langton Rusere,Rod Tucker,Andy Pycroft,Ahsan Raza
2022,1298166,Afghanistan v Sri Lanka,AFG v SL,"32nd Match, Group 1, ICC Men's T20 World Cup at Brisbane, Nov 1 2022",AFG,SL,Afghanistan,BAT FIRST,144/8,148/4,144/8,148/4,SL,Sri Lanka won by 6 wkts (9b rem),2022-11-01T04:00Z,2022-11-02T23:59Z,56336,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Mohammad Nabi,Dasun Shanaka,Wanindu Hasaranga de Silva,"Sri Lanka 2, Afghanistan 0",False,20,144,8,12,18.3,148,4,17,"Hasaranga, Dhananjaya, Kumara keep Sri Lanka's campaign alive. Afghanistan out of the T20 World Cup after going down by six wickets in Brisbane","Rahmanullah Gurbaz,Usman Ghani","Mujeeb Ur Rahman,Rashid Khan","Rahmanullah Gurbaz (WK),Usman Ghani (UKN),Ibrahim Zadran (UKN),Najibullah Zadran (UKN),Gulbadin Naib (AR),Mohammad Nabi (AR),Rashid Khan (AR),Azmatullah Omarzai (AR),Mujeeb Ur Rahman (BL),Fareed Ahmad (BL),Fazalhaq Farooqi (BL)","Pathum Nissanka (UKN),Kusal Mendis (WK),Dhananjaya de Silva (AR),Charith Asalanka (AR),Bhanuka Rajapaksa (UKN),Dasun Shanaka (AR),Wanindu Hasaranga de Silva (AR),Pramod Madushan (BL),Maheesh Theekshana (BL),Kasun Rajitha (BL),Lahiru Kumara (BL)","Dhananjaya de Silva,Kusal Mendis","Wanindu Hasaranga de Silva,Lahiru Kumara",1 November 2022 (20-over match),Ahsan Raza,Rod Tucker,Nitin Menon,Andy Pycroft,Langton Rusere
2022,1298165,Australia v Ireland,AUS v IRE,"31st Match, Group 1 (N), ICC Men's T20 World Cup at Brisbane, Oct 31 2022",AUS,IRE,Ireland,BOWL FIRST,179/5,137,179/5,137,AUS,Australia won by 42 runs,2022-10-31T08:00Z,2022-11-01T23:59Z,56336,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Aaron Finch,Andy Balbirnie,Aaron Finch,"Australia 2, Ireland 0",False,20,179,5,20,18.1,137,10,18,Starc and Maxwell take down Ireland despite Tucker's resistance. Finch still scratchy but took Australia over par before Australia tumbled Ireland,"Aaron Finch,Marcus Stoinis","Adam Zampa,Glenn Maxwell","David Warner (UKN),Aaron Finch (UKN),Mitchell Marsh (AR),Glenn Maxwell (AR),Marcus Stoinis (AR),Tim David (UKN),Matthew Wade (WK),Mitchell Starc (BL),Pat Cummins (BL),Adam Zampa (BL),Josh Hazlewood (BL)","Paul Stirling (AR),Andy Balbirnie (UKN),Lorcan Tucker (WK),Harry Tector (UKN),Curtis Campher (AR),George Dockrell (AR),Gareth Delany (AR),Mark Adair (AR),Fionn Hand (AR),Barry McCarthy (BL),Josh Little (BL)","Lorcan Tucker,Gareth Delany","Barry McCarthy,Josh Little",31 October 2022 - night match (20-over match),Chris Gaffaney,Nitin Menon,Kumar Dharmasena,Chris Broad,Ahsan Raza
2022,1298164,India v South Africa,INDIA v SA,"30th Match, Group 2 (N), ICC Men's T20 World Cup at Perth, Oct 30 2022",INDIA,SA,India,BAT FIRST,133/9,137/5,133/9,137/5,SA,South Africa won by 5 wkts (2b rem),2022-10-30T11:00Z,2022-10-31T23:59Z,1126475,Perth Stadium,Rohit Sharma,Temba Bavuma,Lungi Ngidi,"South Africa 2, India 0",False,20,133,9,14,19.4,137,5,16,"Ngidi, Parnell, Markram, Miller lead South Africa past India. On a typically pacy Perth pitch, the SA bowlers set the game up before their batters completed the job","Suryakumar Yadav,Rohit Sharma","Arshdeep Singh,Mohammed Shami","KL Rahul (UKN),Rohit Sharma (UKN),Virat Kohli (UKN),Suryakumar Yadav (UKN),Deepak Hooda (AR),Hardik Pandya (AR),Dinesh Karthik (WK),Ravichandran Ashwin (AR),Bhuvneshwar Kumar (BL),Mohammed Shami (BL),Arshdeep Singh (BL)","Quinton de Kock (WK),Temba Bavuma (UKN),Rilee Rossouw (UKN),Aiden Markram (UKN),David Miller (UKN),Tristan Stubbs (UKN),Wayne Parnell (BL),Keshav Maharaj (BL),Kagiso Rabada (BL),Anrich Nortje (BL),Lungi Ngidi (BL)","David Miller,Aiden Markram","Lungi Ngidi,Wayne Parnell",30 October 2022 - night match (20-over match),Richard Kettleborough,Langton Rusere,Richard Illingworth,David Boon,Paul Reiffel
2022,1298163,Netherlands v Pakistan,NED v PAK,"29th Match, Group 2 (D/N), ICC Men's T20 World Cup at Perth, Oct 30 2022",NED,PAK,Netherlands,BAT FIRST,91/9,95/4,91/9,95/4,PAK,Pakistan won by 6 wkts (37b rem),2022-10-30T07:00Z,2022-10-31T23:59Z,1126475,Perth Stadium,Scott Edwards,Babar Azam,Shadab Khan,"Pakistan 2, Netherlands 0",False,20,91,9,5,13.5,95,4,10,Pakistan bowlers boss Netherlands to keep their hopes alive. Netherlands could only manage 91 before Rizwan guided Pakistan home in the small chase,"Colin Ackermann,Scott Edwards","Brandon Glover,Paul van Meekeren","Stephan Myburgh (UKN),Max O'Dowd (UKN),Bas de Leede (AR),Tom Cooper (UKN),Colin Ackermann (AR),Scott Edwards (WK),Roelof van der Merwe (AR),Tim Pringle (AR),Logan van Beek (BL),Fred Klaassen (BL),Paul van Meekeren (BL),Brandon Glover (BL)","Mohammad Rizwan (WK),Babar Azam (UKN),Fakhar Zaman (UKN),Shan Masood (UKN),Iftikhar Ahmed (UKN),Shadab Khan (AR),Mohammad Nawaz (AR),Mohammad Wasim (AR),Shaheen Shah Afridi (BL),Haris Rauf (BL),Naseem Shah (BL)","Mohammad Rizwan,Fakhar Zaman","Shadab Khan,Mohammad Wasim",30 October 2022 - day/night match (20-over match),Richard Illingworth,Paul Reiffel,Langton Rusere,David Boon,Richard Kettleborough
2022,1298162,Bangladesh v Zimbabwe,BAN v ZIM,"28th Match, Group 2, ICC Men's T20 World Cup at Brisbane, Oct 30 2022",BAN,ZIM,Bangladesh,BAT FIRST,150/7,147/8,150/7,147/8,BAN,Bangladesh won by 3 runs,2022-10-30T03:00Z,2022-10-31T23:59Z,56336,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Shakib Al Hasan,Craig Ervine,Taskin Ahmed,"Bangladesh 2, Zimbabwe 0",False,20,150,7,14,20,147,8,16,Battling Zimbabwe fall short as Bangladesh win in chaotic final-over finish. Mosaddek keeps his cool at the close even as error from wicketkeeper Nurul gave Zimbabwe a free hit off the final ball,"Najmul Hossain Shanto,Afif Hossain","Taskin Ahmed,Mustafizur Rahman","Najmul Hossain Shanto (UKN),Soumya Sarkar (UKN),Litton Das (UKN),Shakib Al Hasan (AR),Afif Hossain (AR),Mosaddek Hossain (UKN),Nurul Hasan (WK),Yasir Ali (UKN),Taskin Ahmed (BL),Hasan Mahmud (BL),Mustafizur Rahman (BL)","Wessly Madhevere (AR),Craig Ervine (UKN),Milton Shumba (UKN),Sean Williams (UKN),Sikandar Raza (AR),Regis Chakabva (WK),Ryan Burl (UKN),Brad Evans (AR),Richard Ngarava (BL),Blessing Muzarabani (BL),Tendai Chatara (BL)","Sean Williams,Ryan Burl","Richard Ngarava,Blessing Muzarabani",30 October 2022 (20-over match),Marais Erasmus,Nitin Menon,Chris Gaffaney,Chris Broad,Kumar Dharmasena
2022,1298161,New Zealand v Sri Lanka,NZ v SL,"27th Match, Group 1 (N), ICC Men's T20 World Cup at Sydney, Oct 29 2022",NZ,SL,New Zealand,BAT FIRST,167/7,102,167/7,102,NZ,New Zealand won by 65 runs,2022-10-29T08:00Z,2022-10-30T23:59Z,56544,Sydney Cricket Ground,Kane Williamson,Dasun Shanaka,Glenn Phillips,"New Zealand 2, Sri Lanka 0",False,20,167,7,17,19.2,102,10,13,Glenn Phillips outscores Sri Lanka in New Zealand's huge win. Trent Boult claims career-best figures to leave New Zealand well placed to top Group 1,"Glenn Phillips,Daryl Mitchell","Trent Boult,Mitchell Santner","Finn Allen (UKN),Devon Conway (WK),Kane Williamson (UKN),Glenn Phillips (UKN),Daryl Mitchell (AR),James Neesham (AR),Mitchell Santner (AR),Ish Sodhi (BL),Tim Southee (BL),Lockie Ferguson (BL),Trent Boult (BL)","Pathum Nissanka (UKN),Kusal Mendis (WK),Dhananjaya de Silva (AR),Charith Asalanka (AR),Bhanuka Rajapaksa (UKN),Chamika Karunaratne (AR),Dasun Shanaka (AR),Wanindu Hasaranga de Silva (AR),Maheesh Theekshana (BL),Kasun Rajitha (BL),Lahiru Kumara (BL)","Dasun Shanaka,Bhanuka Rajapaksa","Kasun Rajitha,Dhananjaya de Silva",29 October 2022 - night match (20-over match),Michael Gough,Paul Wilson,Ahsan Raza,Andy Pycroft,Rod Tucker
,1298160,Australia v England,AUS v ENG,"26th Match, Group 1 (N), ICC Men's T20 World Cup at Melbourne, Oct 28 2022",AUS,ENG,,,,,,,ENG,Match abandoned without a ball bowled,2022-10-28T08:00Z,2022-10-29T23:59Z,56441,Melbourne Cricket Ground,,,,,,,,,,,,,,,,,,,,,,,,,,
